,0,1,2,3,4,5
"none, down, false, none",17.23362926452262,11.591878742524543,42.337653771597566,15.60996738384709,27.022772247261123,30.03210667704471
"none, met, true, none",32.350725496052526,32.38644333804481,32.96472046395162,34.35395641623412,47.62893244334465,55.70986898872455
"none, met, false, none",20.303322054274034,17.955361280110573,17.548734764085946,16.791843652610744,56.34471940895584,15.143432633579561
"none, up, false, none",41.90661219157298,13.963079586370231,27.694398109837977,11.399121455444167,27.92596793859739,23.081264958515547
"none, met, false, down",28.659394364456276,26.62563052849182,67.08397709061823,29.91756312812942,58.33658166710325,27.27160296631262
"none, left, false, left",32.48886796841801,33.52162157415447,38.88492209091698,79.3184363779315,53.048999025306884,32.11241510338451
"none, met, false, stop",37.849732309537146,23.965522067283075,19.29628664282214,39.211233465610704,80.50516603387918,36.00829297139565
"none, met, false, right",26.192455302618452,70.7428659738427,32.048963657976216,26.33449726325601,52.122745653890014,26.045888657031853
"none, up, false, up",72.28788708851305,23.839382519590664,34.20999161835978,27.229609141683742,49.96981236919335,32.4699445832253
"none, up, false, stop",38.63745644754967,41.77548704883468,12.719678099923385,50.20953218138821,76.6066052702335,39.02365056234269
"down, met, false, none",32.04168780824738,30.779293882381783,68.54116567696677,32.45823745394966,47.50958197335564,25.194901056201207
"down, up, false, none",59.045697718618825,26.207087163044353,71.2299020283116,31.663144223741416,46.83961590116979,44.8538470470002
"down, met, true, none",60.3447537646506,46.25802851676782,80.73057734655447,48.021668498627534,63.57273742785658,53.3786569641157
"down, up, false, down",48.214629860905774,-2.647869099702777,0.0,0.0,0.0,0.0
"none, down, false, down",32.98777057685073,39.21103301256002,80.69325711640977,42.07077181823561,47.740629393417734,32.6137470082608
"none, right, false, none",8.475225289485588,45.69599143347821,14.335954258291617,27.853345682534687,28.724661680421725,16.684118113312135
"none, met, false, left",27.625644612809563,24.589970437296152,33.90077676666384,71.21914300004845,55.38900112004356,24.92865682447312
"none, met, false, up",86.72262550036372,41.48722048737379,37.37698403533155,27.382480022428414,56.65695540830775,26.066220515986675
"none, right, false, right",35.81747050227413,78.42321445467744,25.69510495523962,35.71079422172271,54.32252514321327,33.752843541361344
"none, right, false, stop",36.645732461436474,66.92704010178454,23.806408014717107,17.625703718772105,91.36411834434392,40.31945704522271
"left, met, false, stop",24.09372090663736,23.78877563832416,24.176438781163803,-9.99247456541835,75.38096823360328,23.715419385558896
"left, met, false, none",31.10813033799546,32.60798838845977,30.519153561228585,67.82197341585447,57.32685430973126,33.328292405979525
"left, met, true, none",49.845121954600884,63.67100151038575,47.268032949583784,77.84600811097849,63.67823107865286,58.35629237363061
"down, right, false, none",31.040774340878443,55.35389346475195,72.25985295856293,52.842481404915596,47.980911140188915,44.54272246139798
"right, right, false, none",39.71579823327663,81.3661166477804,34.68371608589652,48.04355193974352,56.75907923174454,46.00659695326976
"down, right, false, down",-5.0,29.870920493275804,0.0,0.0,0.0,0.0
"right, met, false, stop",23.947909909046114,-9.986621449632622,22.65818668112653,22.865839705449844,74.18550244102295,17.846262358198217
"right, met, false, none",36.19783466752263,67.01194757314218,33.11315991470093,34.109473587649376,62.04581875000365,29.04984923935728
"right, met, true, none",48.581088492693965,86.26546408728235,44.83790862103615,61.196441756204806,66.34051471154322,67.91998747185465
"down, left, false, none",36.701283379398006,43.8190274440315,68.65571061293309,62.72410770520489,45.374897810150266,41.30937915400177
"down, down, false, none",49.88201535527603,38.426803840589685,81.20150481843876,36.631052605635375,55.30219169177482,47.57769216959291
"down, down, false, up",72.49701081279792,28.382352423981366,34.11158891813964,20.872868189510143,24.482834410126564,0.0
"none, down, false, stop",6.484596325596231,18.481861492687425,37.44557912170685,32.517664574955425,74.16525557765982,35.41235325494851
"left, right, false, none",26.226323688434725,60.15033045705885,25.48843890252109,73.49759276907514,46.95630232603071,31.041025850509
"up, right, false, none",72.0721335571296,60.34550303644319,40.32015441212829,48.6640811615609,48.62463127896181,63.185827459921455
"up, up, false, none",85.11140890239281,34.43694950203492,52.940112914629864,37.811830310295754,55.37922483108323,53.12607712897879
"right, up, false, none",56.13382691166721,72.6658411885111,40.98821171388426,44.138482705526215,49.11043880231979,39.13302415788176
"none, left, false, stop",28.51254853254043,20.320525834531765,26.22754326172325,35.54678455985892,68.18309571266303,13.088643371909797
"none, left, false, none",7.942995129349377,23.56982714499011,19.3625601156006,41.374588834317606,28.277590066735044,31.74439203024559
"up, left, false, none",73.03892660544216,43.444929788366636,42.495368022898504,61.479873153346226,46.45083287146374,54.97149975616255
"right, met, false, right",8.888520108574838,103.33897197381305,25.607629939259297,13.426514986172593,0.0,9.992557749179804
"down, up, false, stop",58.83452191176088,25.62128144322321,-6.336826390302036,25.367221882919182,66.81676120051075,25.347282840517025
"left, up, false, none",57.9349712923478,35.66465412824924,46.91497871938987,72.26193786889571,48.289706310413465,47.50331083652313
"up, up, false, stop",31.633130438605797,34.48585161393269,17.291449736884577,34.72280196519374,74.63304234146149,32.18644378820103
"down, met, false, down",-3.261457123220813,4.288099654575207,92.71771505496876,0.0,5.079510498046876,0.0
"right, left, false, stop",25.6084872096806,-0.6359378829085269,25.98990462958674,56.0210690128768,66.26012135928647,25.816160467745874
"right, left, false, none",26.53319381161848,68.89342436095487,27.22611295802471,61.456654011902685,46.35965700148065,29.29525646835718
"right, right, false, stop",34.434563940806555,36.61860315865471,37.81498514683666,2.0722951963023597,73.4248013095144,30.6395272298144
"up, met, true, none",84.72430531826973,44.94791795246915,65.10714247087705,48.80123425558385,65.04815121122668,58.62238386372721
"none, up, false, down",41.157707355470436,9.456665817111315,94.89061083074786,6.7073054230930005,35.4058692632642,21.460869642805324
"down, up, false, up",78.13633010001323,8.195049265973163,14.46121967509364,13.222240560227334,0.0,0.0
"none, down, false, up",64.78203622597945,33.305597433982484,54.94300745951416,43.444104306098524,44.67239792772065,7.631778492223866
"left, left, false, none",39.907191144499194,47.800751954280514,39.941716894575386,81.57958559253355,54.797554560382956,46.895690815546494
"left, left, false, left",9.201827627714476,7.383397020233129,5.095295353316227,96.30782896477282,0.0,22.77278600579276
"left, met, false, left",1.7147358045157564,-4.024000721646155,-3.9191144211882154,90.35712226210708,0.0,0.0
"down, left, false, down",-5.0,-5.0,89.66201791582391,0.0,0.0,0.0
"down, down, false, down",11.304433554408885,11.80681977240327,103.38309237619129,5.007871070095339,29.61578898181707,14.102485142701278
"up, down, false, stop",-9.999576216328991,25.59654261964582,22.194139015893082,25.335048676549285,66.10308487944963,24.45105381194663
"left, right, false, left",-5.0,33.27357142752623,-5.0,0.0,0.0,0.0
"left, up, false, up",82.0458607923534,17.568201013280582,12.461811593413442,0.0,0.0,0.0
"down, met, false, stop",23.964823039693893,21.850886932471578,-9.249153137207031,26.095934819277957,75.68535839742606,18.683045031004454
"down, met, false, up",69.59162778791841,17.495000801153687,33.01069375640336,0.0,14.356173385721842,0.0
"none, left, false, right",43.36611778616663,77.9223706935746,42.63658978798852,62.60730782815669,42.10665700532233,11.08552287208314
"up, met, false, none",69.99973040645534,33.77900548195032,34.851413008887974,36.12107094359681,62.56130455390671,31.356539978395734
"up, down, false, none",68.55892948984567,25.283733046048653,60.23718402661719,30.925820482192954,46.46797221148425,41.19964134494651
"left, down, false, none",41.21171005730675,46.446359529775044,56.312494263673635,71.08576324994073,47.13109070067967,48.96607070004867
"left, down, false, left",-7.5,-5.0,20.121094180917552,0.0,0.0,0.0
"right, left, false, right",8.863037774262992,85.60247382309653,0.0,0.0,0.0,0.0
"down, down, false, stop",41.66629378500487,38.297793916209955,44.52943298571543,33.624934087672074,74.94573587162147,33.55773797411783
"none, right, false, down",-16.2710566296973,52.50580330080805,83.68355795915011,33.61908657745954,20.97781340120781,16.50369603172711
"right, up, false, up",86.86169309946177,0.0,0.0,7.621569546327311,0.0,0.0
"left, left, false, stop",33.61917086906237,47.18881262930776,33.10660873122304,23.31846388568534,74.23854897894003,33.722032613261824
"right, down, false, none",33.11309369875369,72.90218953647855,56.705402660623605,40.473430151210984,48.34139268983626,33.41360112494671
"left, down, false, down",-5.0,-5.0,43.33070032624988,0.0,0.0,0.0
"up, met, false, up",107.15612456242688,0.0,0.0,7.753360590082009,0.0,0.0
"left, right, false, right",5.173390531722475,18.812051387692545,2.675800565243412,76.83299666223147,0.0,0.0
"down, right, false, right",-5.0,61.14434841350086,0.0,0.0,0.0,0.0
"up, down, false, up",94.33383809981996,21.380190630492162,14.434576628584656,0.0,0.0,0.0
"right, right, false, right",19.68464231866137,99.47065503536747,18.46322845553682,12.000729679121092,0.0,0.0
"none, up, false, left",49.67824778292982,11.222695037795667,35.20023111439168,70.6696928683951,2.9360464607041967,16.356569973703657
"none, left, false, up",70.77887543693714,35.1260955876441,59.88295181342407,29.982914519878044,33.14225428879578,-6.815918019552804
"left, right, false, stop",26.132535765028365,58.72657552424812,25.628223299232342,-9.98820590042196,67.15127421579909,26.114758368239656
"none, right, false, left",13.48053228614288,42.42348417135971,16.801699088608437,99.60316829863926,34.68309814633478,8.771816335784866
"none, right, false, up",88.61489831395063,51.814142945879794,25.651615098173846,27.70462828804225,27.349906981536954,12.810247456601497
"none, up, false, right",59.5060880054811,78.3488645560196,49.25817550429811,53.54215090502663,33.345090656146,26.88514253713251
"down, left, false, up",76.20841870988482,20.494250436952804,0.0,19.899236070699665,3.7192066526874896,0.0
"up, up, false, up",100.01260596860666,33.696671001433145,39.08441982889876,23.624112499898974,48.161688416114444,5.774247298167056
"none, down, false, right",38.712525678277885,75.30501208148569,45.249016149452586,41.2229492933594,32.410865524774984,12.20504631524475
"none, down, false, left",13.251255398223673,17.96175250276773,50.24761884490255,66.6423271611535,22.53871987837347,17.428569217730608
"up, met, false, stop",-9.577648639678955,24.543817958711795,19.870751217510417,23.00770486944649,76.29091752966592,18.456919425223823
"down, up, false, right",36.294239558583456,0.0,0.0,0.0,0.0,0.0
"left, up, false, down",38.19428116615274,0.0,0.0,0.0,6.314036183788116,0.0
"up, met, false, down",71.59317186569955,0.0,0.0,0.0,0.0,0.0
"right, met, false, left",-5.0,70.50382496519944,0.0,0.0,0.0,0.0
"up, right, false, right",61.368456151176325,0.0,0.0,0.0,0.0,0.0
"left, up, false, stop",55.011798721957604,10.959874722114668,0.0,-2.5,0.0,0.0
"down, left, false, right",-5.0,65.0912901646438,0.0,0.0,0.0,0.0
